用例编号,所属产品,所属模块,相关研发需求,所属场景,用例名称,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,执行人,执行时间,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例,附件
"44	",likeshop(#3),/(#0),,/(#0),注册奖励修改-修改测试,,"1. 打开下单奖励页面
2. 修改奖励积分
3. 点击确定","1. 
2. 
3. 修改成功","1. 
2. 
3.",,"3	",功能测试,,正常,"0	","1	","3	",chenyang,2024/11/7 11:42,通过,chenyang,2024/11/7,,,"1	",,
"43	",likeshop(#3),/(#0),,/(#0),下单奖励修改-修改测试,,"1. 打开下单奖励页面
2. 修改奖励积分
3. 点击确定","1. 
2. 
3. 修改成功","1. 
2. 
3.",,"3	",功能测试,,正常,"0	","1	","3	",chenyang,2024/11/7 11:42,通过,chenyang,2024/11/7,,,"1	",,
"42	",likeshop(#3),/(#0),,/(#0),专区商品添加-添加功能测试,,"1. 点击专区活动页面
2. 点击新增专区商品
3. 选择活动商区
4. 选择商品
5. 点击保存","1. 
2. 
3. 
4. 
5. 商品添加成功","1. 
2. 
3. 
4. 
5.",,"3	",功能测试,,正常,"0	","1	","5	",chenyang,2024/11/7 11:42,通过,chenyang,2024/11/7,,,"1	",,
"41	",likeshop(#3),/(#0),,/(#0),优惠卷查询-查询功能测试,1.已有优惠卷,"1. 打开优惠卷界面
2. 输入优惠卷名称
3. 点击查询","1. 
2. 
3. 数据成功回显","1. 
2. 
3.",,"3	",功能测试,,正常,"0	","1	","3	",chenyang,2024/11/7 11:42,通过,chenyang,2024/11/7,,,"1	",,
"40	",likeshop(#3),/(#0),,/(#0),转账查询-转账功能测试,1.已有转账记录,"1. 打开转账记录
2. 选择记录时间
3. 点击查询","1. 
2. 
3. 查询成功","1. 
2. 
3.",,"3	",功能测试,,正常,"0	","2	","3	",chenyang,2024/11/7 11:42,通过,chenyang,2024/11/7,,,"1	",,
"39	",likeshop(#3),/(#0),,/(#0),会员分组-分组功能测试,1.已存在会员账户test,"1. 打开会员管理页面
2. 选择test用户编辑
3. 输入分组名称
4. 输入备注
5. 点击确定","1. 
2. 
3. 
4. 
5. 提示成功添加","1. 
2. 
3. 
4. 
5.",,"3	",功能测试,,正常,"0	","1	","5	",chenyang,2024/11/7 11:43,通过,chenyang,2024/11/7,,,"1	",,
"38	",likeshop(#3),/(#0),,/(#0),收货地址添加,1.已存在账户test,"1. 打开个人中心
2. 点击收货地址
3. 点击新增收货地址
4. 填写个人信息
5. 点击完成","1. 
2. 
3. 
4. 
5. 提示添加成功","1. 
2. 
3. 
4. 
5.",,"3	",功能测试,,正常,"0	","2	","5	",chenyang,2024/11/7 11:43,通过,chenyang,2024/11/7,,,"1	",,
"37	",likeshop(#3),/(#0),,/(#0),收藏查看-我的收藏功能测试,"1.已存在账户test 
2.笔记本订单已收藏","1. 打开个人中心
2. 点击我的收藏
3. 点击笔记本收藏","1. 
2. 
3. 收藏笔记本数据正常回显","1. 
2. 
3.",,"3	",功能测试,,正常,"0	","1	","3	",chenyang,2024/11/7 11:43,通过,chenyang,2024/11/7,,,"1	",,
"36	",likeshop(#3),/(#0),,/(#0),分销会员创建-分销推荐功能测试,1.已存在账户tes,"1. 打开个人中心
2. 点击分销推荐
3. 输入个人信息
4. 点击立即申请","1. 
2. 
3. 
4. 申请成功并进行回显","1. 
2. 
3. 
4.",,"3	",功能测试,,正常,"0	","2	","4	",chenyang,2024/11/7 11:43,通过,chenyang,2024/11/7,,,"1	",,
"35	",likeshop(#3),/(#0),,/(#0),余额转账-转账功能测试,"1.已存在账户test 
2.test账户余额大于100
3.已存在账户test2","1. 打开个人中心
2. 点击我的钱包
3. 点击余额转账
4. 输入id
5. 输入转账金额
6. 点击转账","1. 
2. 
3. 
4. 
5. 
6. 转账成功","1. 
2. 
3. 
4. 
5. 
6.",,"3	",功能测试,,正常,"0	","1	","6	",chenyang,2024/11/7 11:43,通过,chenyang,2024/11/7,,,"1	",,
